ProductoID,Marca,Descripción,DescripciónID,Tamaño,TamañoID
20702775041,20702,Sanford La Riconda Pnt Nr,7750,750mL,41
20703774941,20703,Sanford & Benedict Pnt Nr,7749,750mL,41
20715408524,20715,Gonzalez Bypass Noe Sherry,4085,375mL,24
20722206641,20722,Ch Musar Hochar Red,2066,750mL,41
20723797741,20723,Shannon Ridge Wrangler Red,7977,750mL,41
20724826841,20724,Spritz and Giggles,8268,750mL,41
20725234041,20725,Chronic Cellars Purple Parad,2340,750mL,41
20728923841,20728,Villa Jolanda Cocnut Moscato,9238,750mL,41
20729923941,20729,Villa Jolanda Peach Moscato,9239,750mL,41
20730924041,20730,Villa Jolanda Pineap Moscato,9240,750mL,41
20731924241,20731,Villa Jolanda Strwby Moscato,9242,750mL,41
20739683641,20739,Paydirt Red Paso Robles,6836,750mL,41
20743234341,20743,Churchill's Late Bottled 05,2343,750mL,41
20745516641,20745,Kono Svgn Bl,5166,750mL,41
20748866541,20748,Terrasole 07 Brunelo d Montl,8665,750mL,41
20758355741,20758,Feudo Zirtari Chardonnay In,3557,750mL,41
20761534541,20761,Lamole Grand Selezione Blk,5345,750mL,41
20762534441,20762,Lamole Chianti Clsco Racolto,5344,750mL,41
20763779741,20763,Sassoregaule Maremma Toscana,7797,750mL,41
20765383841,20765,Furlan Malbec,3838,750mL,41
20767227641,20767,Chehalem Inox Chard Wlmt Vly,2276,750mL,41
20770227741,20770,Chehalem Pnt Nr Three Vyd,2277,750mL,41
20771227841,20771,Chehalem Ridge Crest Vyds Pn,2278,750mL,41
20772322941,20772,Dutton Goldfield Chard Dutto,3229,750mL,41
20776465941,20776,JM Gobillard Tradition Brut,4659,750mL,41
20781834941,20781,Steele Clear Lake Merlot Cty,8349,750mL,41
20784716241,20784,Proemio Chard,7162,750mL,41
20787716341,20787,Proemio Malbec,7163,750mL,41
20788631941,20788,Mt Tabor Galilee Chard,6319,750mL,41
20789962541,20789,Zin-phomaniac Znfdl,9625,750mL,41
20795517724,20795,Kracher Beerenauslese Cuvee,5177,375mL,24
20800853841,20800,Talamonti Moda Montepulciano,8538,750mL,41
20801172641,20801,Catena Historic Rows Chard,1726,750mL,41
20814858641,20814,Tarkettle Chard RRV,8586,750mL,41
20855247141,20855,Cockburns Special RSV,2471,750mL,41
20862934741,20862,W Hill Est Cab Svgn No Cst,9347,750mL,41
20863935041,20863,W Hill Est Chard N Coast,9350,750mL,41
20864935241,20864,W Hill Est Merlot Cntrl Cst,9352,750mL,41
20880914841,20880,Valmaggiore Nebbiolo d'Alba,9148,750mL,41
20883721741,20883,Quinta do Noval Port 11,7217,750mL,41
20884693241,20884,Petrolo Inarno Toscana,6932,750mL,41
20885741741,20885,Rentas De Fincas Rioja,7417,750mL,41
20887874641,20887,The Great American Wine Chrd,8746,750mL,41
20889526741,20889,La Lecciaia Brunello di Mont,5267,750mL,41
20891545341,20891,Legend of the Vine Cab Svgn,5453,750mL,41
20903291724,20903,Delamotte Brut,2917,375mL,24
20905392922,20905,Gekkeikan Suzaku Sake,3929,300mL,22
20912942941,20912,Whitehall Tre Leoni Red Napa,9429,750mL,41
20918522541,20918,LAN Rioja Reserva,5225,750mL,41
20921686141,20921,Penfolds Bin 9 Cab Svgn,6861,750mL,41
20931381041,20931,Frey Vyds Bio Field Blend Rd,3810,750mL,41
20932381141,20932,Frey Vyds Organic Agrul Red,3811,750mL,41
20935227541,20935,Chehalem Ian's Chard Rsv,2275,750mL,41
20941914141,20941,Valdivieso Brut,9141,750mL,41
20944914241,20944,Valdivieso Cab Franc Rsva,9142,750mL,41
20947172141,20947,Catalpa Cab Svgn,1721,750mL,41
20948446841,20948,Honig Bartolucci Vyds Cab Sv,4468,750mL,41
20950115041,20950,Bouza Merlot Tannat 12,1150,750mL,41
20952115241,20952,Bouza Temp Tannat,1152,750mL,41
20953175041,20953,Cavit Chard,1750,750mL,41
20954624124,20954,Moonlight Meadery Last Apple,6241,375mL,24
20955671741,20955,Pacific Rim Dry Rsl,6717,750mL,41
20959323441,20959,Dylans Ghost Stags Leap Red,3234,750mL,41
20960396341,20960,Geyser Peak Tectonic Red,3963,750mL,41
20963832541,20963,Stags Leap Hands of Time Chr,8325,750mL,41
20967647141,20967,Ninety Cellars Lot 106 Pnt N,6471,750mL,41
20968647741,20968,Ninety+Cellars Lot 113 B Red,6477,750mL,41
